DATE,SPEND
2021-08-03,110904.154238
2021-08-04,118526.044291
2021-08-05,118955.074612
2021-08-06,118568.010929
2021-08-07,114521.812229
2021-08-08,110229.189854
2021-08-09,128712.633184
2021-08-10,132454.778492
2021-08-11,141181.695483
2021-08-12,142400.235072
2021-08-13,146011.537102
2021-08-14,141735.167275
2021-08-15,137957.376823
2021-08-16,135062.232999
2021-08-17,144415.816379
2021-08-18,146788.905739
2021-08-19,142136.515775
2021-08-20,149753.904131
2021-08-21,147092.272212
2021-08-22,146784.823176
2021-08-23,142184.530657
2021-08-24,144732.87173
2021-08-25,145838.739882
2021-08-26,140835.60283
2021-08-27,139326.661897
2021-08-28,136300.6778
2021-08-29,140507.30503
2021-08-30,138654.007589
2021-08-31,132829.303418
2021-09-01,146503.24294
2021-09-02,145519.513182
2021-09-03,149224.340227
2021-09-04,159786.32678
2021-09-05,142051.859911
2021-09-06,145009.917547
2021-09-07,139725.255101
2021-09-08,142598.578075
2021-09-09,140747.996206
2021-09-10,140432.432801
2021-09-11,141312.375405
2021-09-12,137998.35789
2021-09-13,137511.835565
2021-09-14,133284.630927
2021-09-15,133645.162635
2021-09-16,140134.993073
2021-09-17,140247.408202
2021-09-18,135266.34083
2021-09-19,134740.557776
2021-09-20,133499.741834
2021-09-21,135634.409992
2021-09-22,138946.929772
2021-09-23,136021.142787
2021-09-24,136670.567188
2021-09-25,135286.747454
2021-09-26,133939.596772
2021-09-27,136870.453466
2021-09-28,138269.867113
2021-09-29,143261.704048
2021-09-30,142378.148123
2021-10-01,155351.021273
2021-10-02,148185.334992
2021-10-03,149225.215427
2021-10-04,134702.542953
2021-10-05,145633.31986
2021-10-06,135315.591704
2021-10-07,146151.237771
2021-10-08,148227.798682
2021-10-09,152261.651409
2021-10-10,156045.338654
2021-10-11,151117.43004
2021-10-12,156175.804616
2021-10-13,156554.324422
2021-10-14,161822.497452
2021-10-15,155741.841303
2021-10-16,146804.184961
2021-10-17,143420.605361
2021-10-18,147023.670898
2021-10-19,148675.320134
2021-10-20,149002.21706
2021-10-21,151076.522289
2021-10-22,148207.116325
2021-10-23,146004.814024
2021-10-24,155363.166043
2021-10-25,151422.848186
2021-10-26,150469.705907
2021-10-27,145930.399826
2021-10-28,153753.887929
2021-10-29,150383.248348
2021-10-30,149789.601067
2021-10-31,143501.476287
2021-11-01,126953.460872
2021-11-02,119116.962141
2021-11-03,118488.167684
2021-11-04,117782.288044
2021-11-05,118819.507484
2021-11-06,114413.296064
2021-11-07,110869.972025
2021-11-08,109305.064956
2021-11-09,116429.635581
2021-11-10,113617.25439
2021-11-11,124109.799968
2021-11-12,116595.395084
2021-11-13,120271.36429
2021-11-14,114089.816008
2021-11-15,119099.68359
2021-11-16,112630.158962
2021-11-17,91952.991574
2021-11-18,94241.12759
2021-11-19,86511.491839
2021-11-20,96278.221449
2021-11-21,86938.972452
2021-11-22,91592.896564
2021-11-23,97239.511265
2021-11-24,75683.316754
2021-11-25,59180.78327
2021-11-26,73591.186977
2021-11-27,82105.845047
2021-11-28,92657.601935
2021-11-29,102084.109187
2021-11-30,98293.66505
2021-12-01,96792.842229
2021-12-02,93172.781487
2021-12-03,94209.669242
2021-12-04,101916.766699
2021-12-05,105538.610509
2021-12-06,122807.293147
2021-12-07,154489.839259
2021-12-08,158890.966184
2021-12-09,146150.747303
2021-12-10,157327.193803
2021-12-11,143770.555074
2021-12-12,134370.293335
2021-12-13,169925.742224
2021-12-14,157849.965938
2021-12-15,146663.343952
2021-12-16,131801.290047
2021-12-17,127138.915498
2021-12-18,104865.339187
2021-12-19,109484.495184
2021-12-20,113109.437297
2021-12-21,118595.805743
2021-12-22,125594.288959
2021-12-23,125561.716678
2021-12-24,118266.328842
2021-12-25,126807.288503
2021-12-26,122938.624127
2021-12-27,125852.790209
2021-12-28,123532.957286
2021-12-29,127253.585765
2021-12-30,126764.368605
2021-12-31,120670.474955
2022-01-01,123461.161844
2022-01-02,130874.486939
2022-01-03,122025.962792
2022-01-04,129965.689755
2022-01-05,130369.132713
2022-01-06,132532.185499
2022-01-07,127922.755434
2022-01-08,131328.611263
2022-01-09,119812.284433
2022-01-10,124776.492395
2022-01-11,132783.626826
2022-01-12,137149.671776
2022-01-13,121894.003368
2022-01-14,123372.266606
2022-01-15,124252.831969
2022-01-16,122204.98443
2022-01-17,123819.482869
2022-01-18,126263.850093
2022-01-19,139021.533888
2022-01-20,135831.942432
2022-01-21,131565.709791
2022-01-22,133771.28048
2022-01-23,128147.551128
2022-01-24,127333.623972
2022-01-25,129212.896133
2022-01-26,122396.300669
2022-01-27,127850.514802
2022-01-28,135885.482544
2022-01-29,139014.818402
2022-01-30,133161.85842
2022-01-31,144330.835097
2022-02-01,147410.903026
2022-02-02,142031.796183
2022-02-03,143646.105702
2022-02-04,137357.289257
2022-02-05,129992.276781
2022-02-06,128160.28352
2022-02-07,136288.438505
2022-02-08,135344.017557
2022-02-09,137207.064534
2022-02-10,133008.501175
2022-02-11,138192.131791
2022-02-12,134713.125072
2022-02-13,136523.878284
2022-02-14,135658.205714
2022-02-15,138304.653944
2022-02-16,136971.019822
2022-02-17,138170.315564
2022-02-18,141224.250918
2022-02-19,141885.286989
2022-02-20,142315.608624
2022-02-21,151068.739628
2022-02-22,136894.444013
2022-02-23,119575.38817
2022-02-24,120522.037905
2022-02-25,117294.473184
2022-02-26,113758.119761
2022-02-27,109567.917509
2022-02-28,113262.416013
2022-03-01,117037.915905
2022-03-02,113159.883251
2022-03-03,110399.869347
2022-03-04,102950.204633
2022-03-05,100717.679781
2022-03-06,99312.548833
2022-03-07,85167.693619
2022-03-08,90847.499717
2022-03-09,95129.902731
2022-03-10,99891.218181
2022-03-11,103997.823957
2022-03-12,102184.846817
2022-03-13,97219.569762
2022-03-14,104690.200181
2022-03-15,106524.691153
2022-03-16,108969.179358
2022-03-17,110838.67472
2022-03-18,112381.346963
2022-03-19,112593.615585
2022-03-20,110788.411609
2022-03-21,113984.828917
2022-03-22,111818.107489
2022-03-23,116714.360126
2022-03-24,118259.419733
2022-03-25,121823.679803
2022-03-26,121417.720574
2022-03-27,122719.194301
2022-03-28,136648.734403
2022-03-29,139708.185745
2022-03-30,143112.270182
2022-03-31,147038.40681
2022-04-01,150242.288024
2022-04-02,145890.031186
2022-04-03,142060.330981
2022-04-04,151520.862483
2022-04-05,151920.867052
2022-04-06,166112.807473
2022-04-07,167415.868976
2022-04-08,176136.342092
2022-04-09,181539.462997
2022-04-10,177879.339236
2022-04-11,186071.299778
2022-04-12,190342.042892
2022-04-13,189077.047179
2022-04-14,193420.731492
2022-04-15,192559.278169
2022-04-16,196621.662901
2022-04-17,177897.614296
2022-04-18,141614.218303
2022-04-19,96013.698716
2022-04-20,113371.010758
2022-04-21,114901.66488
2022-04-22,150776.542858
2022-04-23,152860.14254
2022-04-24,145180.358885
2022-04-25,212918.977843
2022-04-26,207624.593054
2022-04-27,202325.025268
2022-04-28,189475.922291
2022-04-29,208326.672228
2022-04-30,199711.722902
2022-05-01,196500.003393
2022-05-02,200941.864147
2022-05-03,184567.402857
2022-05-04,179935.829175
2022-05-05,180953.412419
2022-05-06,180289.572971
2022-05-07,183316.615832
2022-05-08,177594.648253
2022-05-09,182353.489129
2022-05-10,152017.228467
2022-05-11,136217.40877
2022-05-12,120087.708929
2022-05-13,131386.113945
2022-05-14,130884.129181
2022-05-15,129456.586519
2022-05-16,195511.060803
2022-05-17,194356.953126
2022-05-18,179961.287023
2022-05-19,172946.821637
2022-05-20,170615.043265
2022-05-21,172023.464407
2022-05-22,168497.770019
2022-05-23,170223.102119
2022-05-24,170910.176448
2022-05-25,172839.207483
2022-05-26,192396.448595
2022-05-27,198115.688203
2022-05-28,212364.625377
2022-05-29,218149.230803
2022-05-30,221394.843555
2022-05-31,216293.721359
2022-06-01,211339.546498
2022-06-02,196234.323257
2022-06-03,198103.147547
2022-06-04,197472.464138
2022-06-05,196277.436971
2022-06-06,201795.598523
2022-06-07,214918.332803
2022-06-08,216152.016352
2022-06-09,228789.825006
2022-06-10,231478.913459
2022-06-11,233793.829913
2022-06-12,237766.152109
2022-06-13,246535.138008
2022-06-14,239399.40999
2022-06-15,233207.295123
2022-06-16,229671.030023
2022-06-17,231161.558162
2022-06-18,232532.792341
