solID,AA_alphas,AA_gammas,AA_thetas,AI_alphas,AI_gammas,AI_thetas,AS_alphas,AS_gammas,AS_thetas,BA_alphas,BA_gammas,BA_thetas,BI_alphas,BI_gammas,BI_thetas,LA_alphas,LA_gammas,LA_thetas,LI_alphas,LI_gammas,LI_thetas,RA_alphas,RA_gammas,RA_thetas,RI_alphas,RI_gammas,RI_thetas,SA_alphas,SA_gammas,SA_thetas,SI_alphas,SI_gammas,SI_thetas,TT_alphas,TT_gammas,TT_thetas,UN_alphas,UN_gammas,UN_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_160_10,2.13656179634871,0.306643101351572,0.286774133929633,1.43501372254081,0.963898268854058,0.184768176351382,2.75147257633232,0.854870341978984,0.191435942921926,0.848063777477985,0.675085597730665,0.359398861145334,0.953678520211739,0.867264491227555,0.51168044646754,1.88455814952085,0.828629367436022,0.394212674059714,2.10653888696802,0.788047001718281,0.105501969677735,2.78657989648483,0.380736601047157,0.507099848077504,2.46524103362617,0.994791817191751,0.463081799289705,1.6407741045513,0.803864746019269,0.792862019350736,2.82705017279421,0.963949489523481,0.320106011120953,2.01688177113807,0.689649935209677,0.272589810387343,1.09105029652351,0.807607337786532,0.310630191575314,12.8142376841191,0,0.0750056071774876,0.232264277064199,0.767841422262861,0.000321678495943815,30390.9623547242,0,0.192441940307617,45.2371110916138,10,160,1,1,1600,TRUE,TRUE,1
1_169_10,2.13656179634871,0.306643101351572,0.286774133929633,1.43501372254081,0.963898268854058,0.184768176351382,2.75147257633232,0.920860596027542,0.198162757145005,0.675035714572426,0.750693794419934,0.359398861145334,0.953678520211739,0.867264491227555,0.51168044646754,1.88455814952085,0.828629367436022,0.394212674059714,2.10653888696802,0.788047001718281,0.105501969677735,2.78657989648483,0.380736601047157,0.507099848077504,2.46524103362617,0.994791817191751,0.463081799289705,1.6407741045513,0.803864746019269,0.792862019350736,2.82705017279421,0.963949489523481,0.320106011120953,2.01688177113807,0.689649935209677,0.272589810387343,1.09105029652351,0.807607337786532,0.310630191575314,12.8142376841191,0,0.0750478229098603,0.230392813330793,0.767580015073385,0.000321678495943815,30390.9623547242,0,0.161370038986206,47.9808909893036,10,169,1,1,1690,TRUE,TRUE,1
1_189_10,1.14811806832879,0.327108909691961,0.238524887295031,2.29672285464344,0.51980756265812,0.28889233841177,2.87659627307422,0.883566601364496,0.190968619330523,0.523213350709346,0.741045100557818,0.393219761179606,0.904278305038422,0.758375581289369,0.68829618425684,1.02046640285816,0.683975087371474,0.41442920035432,0.848015220420074,0.381496006790956,0.27205126525456,2.18369646132891,0.42558434232231,0.355426507853097,1.58487646564003,0.49920649383784,0.779401106886932,2.17556256660157,0.807983113330486,0.662638433554946,2.65503351041716,0.967922274696271,0.663969547003413,1.46405627947206,0.61203409793717,0.422847642794661,1.34195912740438,0.94141089549424,0.319713911651195,6.61012321613376,0,0.0769172394974141,0.206805598867051,0.755856789622,0.000117514676810426,30390.9623547242,0,0.141108989715576,54.1177179813385,10,189,1,1,1890,TRUE,TRUE,1
1_193_10,2.13656179634871,0.306643101351572,0.286774133929633,1.25956198439138,0.886443948986802,0.184768176351382,2.75147257633232,0.854870341978984,0.191435942921926,0.848063777477985,0.675085597730665,0.359398861145334,0.953678520211739,0.867264491227555,0.51168044646754,1.88455814952085,0.828629367436022,0.394212674059714,2.10653888696802,0.788047001718281,0.105501969677735,2.6090170576236,0.436564726453678,0.757490762707034,2.88680545709184,0.809521199312328,0.406942173584647,1.45245804365122,0.737746741332507,0.777403822212536,2.82705017279421,0.963949489523481,0.320106011120953,2.01688177113807,0.689649935209677,0.272589810387343,1.09105029652351,0.807607337786532,0.310630191575314,12.8142376841191,0,0.0747333156130725,0.235800097478826,0.769523965231536,0.000321678495943815,30390.9623547242,0,0.135262012481689,55.1235270500183,10,193,1,1,1930,TRUE,TRUE,1
1_195_10,1.14811806832879,0.327108909691961,0.238524887295031,2.29672285464344,0.51980756265812,0.303205175052631,2.95113494019636,0.911979982195637,0.149887448798517,0.837398169802726,0.812221198587645,0.453651531006611,1.02065628290076,0.959477933610073,0.74539136496075,1.31027800509128,0.782101430168128,0.638993540705937,0.707996037431872,0.413104167248379,0.273389761198076,2.32337939478687,0.400160977574274,0.355426507853097,1.58487646564003,0.49920649383784,0.779401106886932,2.17556256660157,0.807983113330486,0.662638433554946,2.65503351041716,0.967922274696271,0.663969547003413,1.46405627947206,0.61203409793717,0.422847642794661,1.34195912740438,0.94141089549424,0.319713911651195,6.61012321613376,0,0.0769406114354535,0.205436999385662,0.755708397221395,0.000117514676810426,30390.9623547242,0,0.122693777084351,55.6101450920105,10,195,1,1,1950,TRUE,TRUE,1
1_196_10,2.13656179634871,0.306643101351572,0.286774133929633,1.25956198439138,0.886443948986802,0.184768176351382,2.75147257633232,0.854870341978984,0.191435942921926,0.848063777477985,0.675085597730665,0.359398861145334,0.953678520211739,0.867264491227555,0.51168044646754,1.88455814952085,0.828629367436022,0.394212674059714,2.10653888696802,0.788047001718281,0.105501969677735,2.05792637366131,0.459324342384208,0.639006221059042,2.40437200276118,0.679707472159406,0.509795455718976,1.64961298617691,0.856201019104781,0.720410332986648,2.80725063288798,0.921325716543861,0.495569200799546,1.96514238483115,0.806380044194531,0.243436172085389,1.09105029652351,0.807607337786532,0.310630191575314,12.8142376841191,0,0.0744822516243635,0.241682202468281,0.771069916610061,0.000321678495943815,30390.9623547242,0,0.142560005187988,55.8814010620117,10,196,1,1,1960,TRUE,TRUE,1
1_199_5,0.535786349590382,0.926017556469266,0.497931296673774,1.52670940094359,0.766194275015891,0.217393015316819,2.84029249581456,0.522808199162108,0.186672728654367,0.624123260384889,0.740620181156293,0.429473957861957,1.17969040663085,0.732316069778667,0.642713729755453,1.05612918972856,0.610946028764622,0.215379367342831,0.715332802557022,0.313460840089346,0.308115017569472,1.66646869058644,0.414245157006325,0.434752494928199,2.17165807499995,0.434751612579354,0.344311390999914,2.34684703887852,0.823327534814434,0.51608805840637,2.31248434359293,0.926112622779426,0.592533347989049,1.63159596259603,0.794307692889387,0.368842375625571,0.821547163288756,0.534721474695401,0.340587674291348,14.5922172982325,0,0.0768536314583637,0.208282210083488,0.756260419543694,0.000380187910983117,30390.9623547242,0,0.136938095092773,56.6388211250305,5,199,1,1,1985,TRUE,TRUE,1
2_106_4,0.710777140552452,0.396693916772618,0.710639453383417,0.966653610006566,0.832369140181275,0.606885785002323,2.87176221009043,0.844920359914253,0.464826257712006,2.45077542378332,0.512229015631057,0.78229489996172,1.11044463990096,0.874331289587277,0.148382327120336,1.10245396044204,0.414905782249979,0.12169355153989,0.94490488967007,0.427813223179138,0.263842603295994,1.48147738646821,0.652910649311866,0.694587384437899,1.07617421239215,0.379632605412692,0.731657461535907,1.46450653391152,0.474168798319417,0.732360815778402,2.58234415684305,0.704760651520949,0.348707859494448,0.946958844716969,0.772030796158591,0.18577626642607,1.84765654076163,0.40571443640225,0.150345450067039,62.4097878554982,0,0.0819044920295006,0.19200821093237,0.723170279186052,0.00195375942985643,30390.9623547242,0,0.179684162139893,30.891047000885,4,106,1,2,1054,TRUE,TRUE,1
2_114_7,0.769048317141981,0.464490991491446,0.714853437652974,1.55992651346275,0.812100090760274,0.742392522127654,2.81572007042692,0.94348108849557,0.534889246220303,2.64019902097288,0.659679431963249,0.758226593437846,0.762826795914956,0.969612645687231,0.229117405866133,0.560821516239979,0.332290823436477,0.19409956542512,0.644984510194757,0.315335713670228,0.680556085794151,0.566574675170006,0.730789021547001,0.701981481274089,1.91097788921955,0.706614308299542,0.227744186494612,0.925310674560614,0.338150034321741,0.712661546169446,2.8330149291383,0.803761850801021,0.259256494793862,1.55543821064031,0.830086994943022,0.279205510112084,0.884555035748433,0.470120873917099,0.190003922093181,153.740842364337,0,0.0889093481408621,0.0995161275872734,0.673793864981605,0.00495926440405126,30390.9623547242,0,0.19637393951416,33.2312209606171,7,114,1,2,1137,TRUE,TRUE,1
2_117_7,0.735504046686029,0.472736445464353,0.696778621720938,1.55292476455868,0.817645454144486,0.694306191769808,2.87889221508071,0.955795177533115,0.517347029537991,2.674989793498,0.630621083326387,0.464132051033,0.762826795914956,0.969612645687231,0.229117405866133,0.560821516239979,0.332290823436477,0.19409956542512,0.644984510194757,0.315335713670228,0.680556085794151,0.566574675170006,0.730789021547001,0.701981481274089,1.91097788921955,0.769258361598182,0.188429996966532,0.894208556738853,0.35798689126472,0.672726837853312,2.70986288530919,0.793164293794724,0.245265957311016,1.63617315956162,0.857235538360398,0.257440749320714,0.847523911488065,0.469490589843387,0.188430811800306,151.183735158251,0,0.0884012011056839,0.107962167439354,0.677511966499834,0.00487511560637481,30390.9623547242,0,0.144727945327759,34.0291059017181,7,117,1,2,1167,TRUE,TRUE,1
