solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_169_10,AS,503.651594869641,45959.7863274821,0.0579776922695825,113.761847345253,0.020787962820022,45959.7863274821,0.0579776922695825,113.761847345253,0.020787962820022,TRUE,0.0932303719705267,0.17437261855328,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,4619889.8313,11435.3708695545,0.0932303719705267,0.17437261855328,0.00577234199458534,0.00994824292477758,100.520263483851,66.0088714939871,0.0138015004222325
1_169_10,BA,0,0,0,0,0,0,0,0,0,TRUE,0.0102136071931573,0,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,506119.83,1353.26157754011,0.0102136071931573,0,0,0,Inf,0,0
1_169_10,BI,0,0,0,0,0,0,0,0,0,TRUE,0.0102340584288612,0,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,507133.26,1345.18106100796,0.0102340584288612,0,0,0,Inf,0,0
1_169_10,LA,0,0,0,0,0,0,0,0,0,TRUE,0.167017822132368,0,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,8276315.13000001,20485.928539604,0.167017822132368,0,0,0,Inf,0,0
1_169_10,LI,482.539446543501,28043.8080741611,0.0353769110893083,69.4153665202007,0.0126844288488108,28043.8080741611,0.0353769110893083,69.4153665202007,0.0126844288488108,TRUE,0.15160255676262,0.106398933477483,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,7512435.01,18734.2518952618,0.15160255676262,0.106398933477483,0.00277572309151373,0.00373298511558918,267.882128922491,52.0010955879131,0.00521713654353562
1_169_10,RA,0,0,0,0,0,0,0,0,0,TRUE,0.00132529367226659,0,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,65672.92,938.184571428572,0.00132529367226659,0,0,0,Inf,0,0
1_169_10,RI,397.30453663863,6296.61674640034,0.00794310281299122,28.4914784904993,0.00520631309502617,6296.61674640034,0.00794310281299122,28.4914784904993,0.00520631309502617,TRUE,0.000692035283836271,0.0238895268631771,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,34292.76,489.896571428572,0.000692035283836271,0.0238895268631771,0.0453082513484675,0.183613589177434,5.44621999101415,22.1963569930382,0.105583639705884
1_169_10,SA,49.1950086292289,5334.66870643711,0.00672961746206028,13.2046255109829,0.00241291145124924,5334.66870643711,0.00672961746206028,13.2046255109829,0.00241291145124924,TRUE,0.0124078770852526,0.0202398711087881,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,614853.550003001,1722.27885154902,0.0124078770852526,0.0202398711087881,0.000972333394570971,0.00867632415298095,115.256182499409,1.67462924212445,0.00154130839261546
1_169_10,SI,404.114217697112,36963.6491989201,0.0466291784549556,91.4941811854459,0.0167189412014306,36963.6491989201,0.0466291784549556,91.4941811854459,0.0167189412014306,TRUE,0.0385135053933352,0.140241041509073,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,1908478.408631,4723.95645700743,0.0385135053933352,0.140241041509073,0.0072357844510574,0.0193681254300567,51.6312228362657,34.1815306790865,0.0187283582336519
1_169_10,TT,358.280040524463,22973.1797476384,0.0289803772448338,56.8643063060357,0.0103909448805689,22973.1797476384,0.0289803772448338,56.8643063060357,0.0103909448805689,TRUE,0.0907419174954247,0.0871608384022345,0,0.0750478229098603,0.230392813330793,0.767580015073385,12.8142376841191,0.000321678495943815,30390.9623547242,10,169,1,1,1690,1,4496578.24,16968.2197735849,0.0907419174954247,0.0871608384022345,0.00301806633734839,0.00510903592053108,195.731644003797,51.2112129033859,0.005217085723352
